StationID,StationName,County,Township,TWD67_X,TWD67_Y,WGS84_Lon,WGS84_Lat
CAD080,國三N085K,新竹縣,關西鎮,121.112895,24.785096,121.1211,24.78333
CAD090,國三S103K,新竹市,東區,120.952631,24.76037,120.9608,24.75861
CAB010,國一S001K,基隆市,安樂區,121.720369,25.11762,121.7286,25.11583
CAB020,國一S006K,基隆市,七堵區,121.678671,25.088729,121.6869,25.08694
CAA010,國一N013K,新北市,汐止區,121.619925,25.068524,121.628153,25.066739
CAA020,國一S026K,新北市,三重區,121.488172,25.078169,121.4964,25.07639
CAC010,國一S072K,桃園市,楊梅區,121.125987,24.897595,121.1342,24.89583
CAD020,國一N077K,新竹縣,湖口鄉,121.080688,24.886763,121.0889,24.885
CAD030,國一S082K,新竹縣,湖口鄉,121.038489,24.878431,121.0467,24.87667
CAD040,國一S088K,新竹縣,竹北市,121.013191,24.8462,121.0214,24.84444
CAD050,國一N094K,新竹市,東區,121.000695,24.799541,121.0089,24.79778
CAD060,國一S098K,新竹縣,寶山鄉,120.982894,24.762369,120.9911,24.76056
CAL020,國一S262K,嘉義縣,民雄鄉,120.394928,23.51409,120.403038,23.512333
CAL030,國一N268K,嘉義縣,水上鄉,120.367726,23.46259,120.375833,23.460833
CAL040,國一N273K,嘉義縣,水上鄉,120.346896,23.418417,120.355,23.416666
CAN010,國一N288K,臺南市,新營區,120.281937,23.307846,120.290033,23.30609
CAN020,國一S306K,臺南市,麻豆區,120.222474,23.154587,120.230558,23.152831
CAN040,國一N323K,臺南市,永康區,120.241377,23.01355,120.249453,23.011789
CAP010,國一S342K,高雄市,路竹區,120.286935,22.847321,120.295,22.845555
CAP020,國一S346K,高雄市,岡山區,120.306103,22.81399,120.314166,22.812222
CAP030,國一N351K,高雄市,橋頭區,120.320828,22.767602,120.328888,22.765833
CAP040,國一N361K,高雄市,仁武區,120.320557,22.682326,120.328611,22.680555
CAL050,國三N279K,嘉義縣,大林鎮,120.515216,23.597872,120.523333,23.596111
CAL070,國三N295K,嘉義市,東區,120.491261,23.470361,120.499369,23.468598
CAM900,國三S290K,嘉義縣,竹崎鄉,120.482631,23.505867,120.490742,23.504106
CAV270,國一S336K,高雄市,路竹區,120.263097,22.89593,120.271178,22.894167
CAN150,國一N315K,臺南市,新市區,120.24383,23.08526,120.251897,23.0835
CAV280,國三S378K,高雄市,田寮區,120.407455,22.82773,120.415519,22.825958
CAL080,國三N303K,嘉義縣,中埔鄉,120.444389,23.413742,120.452447,23.411969
CAN060,國三S311K,臺南市,白河區,120.430789,23.34815,120.438888,23.346388
CAN070,國三S329K,臺南市,官田區,120.347743,23.214538,120.355833,23.212777
CAN080,國三N336K,臺南市,官田區,120.336914,23.156484,120.345,23.154722
CAN090,國三S342K,臺南市,善化區,120.319446,23.108456,120.327528,23.106694
CAN100,國三S366K,臺南市,關廟區,120.343284,22.909476,120.3513,22.9077
CAP060,國三S385K,高雄市,大樹區,120.436379,22.769552,120.444444,22.767777
CAQ020,國三S415K,屏東縣,竹田鄉,120.519952,22.569782,120.528,22.568
CAQ010,國三N425K,屏東縣,南州鄉,120.523624,22.482061,120.531666,22.480277
CAJ040,西濱S241K,雲林縣,口湖鄉,120.164529,23.625171,120.172646,23.623426
CAL100,西濱S267K,嘉義縣,東石鄉,120.15477,23.417568,120.162872,23.41613
CAC050,西濱S023K,桃園市,蘆竹區,121.26728,25.118258,121.27551,25.11649
CAC060,西濱S032K,桃園市,大園區,121.184277,25.09373,121.192505,25.091966
CAD100,西濱N066K,新竹縣,新豐鄉,120.956688,24.897357,120.9649,24.8956
